prototype,name,n_descriptors,descriptors
24,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
25,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
26,"Divided Projects, Suit jacket, Womens Trend",3,section_name=Divided Projects(score=0.994); department_name=Suit jacket(score=0.990); section_name=Womens Trend(score=0.965)
27,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
28,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
29,"Divided Projects, Suit jacket, Womens Trend",3,section_name=Divided Projects(score=0.994); department_name=Suit jacket(score=0.990); section_name=Womens Trend(score=0.965)
30,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
31,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
32,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
33,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
34,"Divided Projects, Suit jacket, Womens Trend",3,section_name=Divided Projects(score=0.994); department_name=Suit jacket(score=0.989); section_name=Womens Trend(score=0.965)
