item_id,item,item weight,prototype
1847,2745,1.9719274,65
2027,3169,1.9466423,65
916,3098,1.934302,65
2026,2240,1.9277294,65
1958,3420,1.9247029,65
894,3101,1.9184248,65
1029,2852,1.9183271,65
3056,2984,1.9999042,66
3091,2737,1.9992273,66
2986,146,1.9990138,66
1803,3403,1.9987836,66
2740,731,1.9985756,66
2334,2307,1.9984039,66
3029,238,1.9979069,66
2743,416,1.9978766,66
2944,1153,1.9975457,66
3070,3644,1.9974008,66
218,1171,1.9982324,67
195,2318,1.9949514,67
1558,3007,1.9882178,67
274,1916,1.9860283,67
639,247,1.9633307,67
1839,101,1.959521,67
559,2282,1.953583,67
212,562,1.9508494,67
182,176,1.9489157,67
436,2693,1.9485929,67
884,2541,1.9991153,68
1153,3301,1.9981618,68
1290,3617,1.9940002,68
777,3752,1.9817283,68
223,3717,1.9761441,68
1289,3409,1.9732915,68
1168,3785,1.9638917,68
599,2694,1.9628651,68
1267,3273,1.9613342,68
603,2840,1.9578221,68
2983,3580,1.9996734,69
800,771,1.9996579,69
1826,3934,1.9970601,69
2982,962,1.9926656,69
2298,3902,1.9645889,69
2663,3912,1.9608872,69
2287,2768,1.9552915,69
2251,3867,1.9438057,69
1964,3853,1.940732,69
3121,554,1.939638,69
1067,1091,1.9996665,70
2110,2372,1.9979036,70
2260,2263,1.9884595,70
115,2735,1.9881504,70
1062,2796,1.9858118,70
2326,719,1.9848841,70
1061,2794,1.9815836,70
745,2616,1.9697719,70
2320,450,1.9656065,70
497,2375,1.9626778,70
2825,3714,1.9998578,71
1833,3109,1.9993585,71
1970,2086,1.9978266,71
2171,3144,1.9955795,71
2183,2419,1.9948901,71
3061,2257,1.9922554,71
2202,1547,1.9912754,71
1712,1381,1.991087,71
2170,3715,1.9910733,71
2815,2037,1.9909317,71
674,2377,1.9993594,72
1207,2034,1.9989469,72
2448,2163,1.9945734,72
1362,2613,1.9873693,72
1805,2532,1.9863164,72
1202,3807,1.9854312,72
1804,2531,1.9827416,72
1468,2365,1.9801149,72
2331,1128,1.9799495,72
1762,533,1.9742272,72
1999,2048,1.9995854,73
1623,1713,1.9988828,73
224,1030,1.9944886,73
1633,1848,1.9939468,73
709,2089,1.9880897,73
1217,107,1.9876263,73
738,616,1.9830701,73
397,2090,1.9807066,73
1663,1024,1.9799025,73
1605,2123,1.97949,73
372,3447,1.9997723,74
1922,2181,1.9984794,74
1573,973,1.9974499,74
2361,3622,1.9942585,74
71,982,1.9926225,74
1994,3678,1.9915088,74
1466,2184,1.9910712,74
2062,3199,1.9905825,74
1853,3849,1.9902539,74
2488,3738,1.9887877,74
1443,492,1.9992335,75
209,348,1.9957983,75
554,345,1.9923964,75
872,1057,1.9803772,75
164,728,1.9749901,75
1662,417,1.9535215,75
844,52,1.9514449,75
1092,2171,1.9513047,75
204,1734,1.9465414,75
1530,1914,1.941974,75
